group,mean_abs_shap,mean_signed,n_features,members,direction,contribution_share,category,contribution_share_normalized
As_mgkg,0.006619,-0.006618863605715197,1,['x_measured_As_mgkg'],negative,0.022846,measured_contribution,0.9262524489224742
BaP_ngg,0.000277,0.0002754241408098179,1,['x_measured_BaP_ngg'],positive,0.000954,measured_contribution,0.03876294430450602
苯并[k]荧蒽,8.2e-05,-8.236149283387498e-05,1,['x_measured_苯并[k]荧蒽'],negative,0.000284,measured_contribution,0.011474951021550519
"茚并[1,2,3-cd]芘",4.9e-05,-4.879397487425717e-05,1,"['x_measured_茚并[1,2,3-cd]芘']",negative,0.000168,measured_contribution,0.006856982927511895
"二苯并[a,h]蒽",3.9e-05,-3.9032306025046777e-05,1,"['x_measured_二苯并[a,h]蒽']",negative,0.000135,measured_contribution,0.0054575986565911
苯并[a]蒽,2.9e-05,-2.8955956134781433e-05,1,['x_measured_苯并[a]蒽'],negative,0.0001,measured_contribution,0.004058214385670306
Zn_mgkg,1.9e-05,1.874853113010129e-05,1,['x_measured_Zn_mgkg'],positive,6.5e-05,measured_contribution,0.0026588301147495107
Ni_mgkg,1.5e-05,1.4711386387001547e-05,1,['x_measured_Ni_mgkg'],positive,5.1e-05,measured_contribution,0.0020990764063811927
坡度,5e-06,5.006152381453253e-06,1,['x_measured_坡度'],positive,1.7e-05,measured_contribution,0.0006996921354603975
萘,4e-06,3.647082927262124e-06,1,['x_measured_萘'],positive,1.3e-05,measured_contribution,0.000559753708368318
SoilBD_gcm3,3e-06,-2.677410890403325e-06,1,['x_measured_SoilBD_gcm3'],negative,9e-06,measured_contribution,0.0004198152812762385
OC_pct,2e-06,-1.156463804927258e-06,1,['x_measured_OC_pct'],negative,6e-06,measured_contribution,0.000279876854184159
Hg_mgkg,1e-06,-1.3400089083796764e-06,1,['x_measured_Hg_mgkg'],negative,5e-06,measured_contribution,0.0001399384270920795
pH,1e-06,-9.197070294795558e-07,1,['x_measured_pH'],negative,3e-06,measured_contribution,0.0001399384270920795
CEC_cmolkg,1e-06,8.950723763221061e-07,1,['x_measured_CEC_cmolkg'],positive,3e-06,measured_contribution,0.0001399384270920795
Cu_mgkg,0.0,-4.612848046175909e-07,1,['x_measured_Cu_mgkg'],negative,2e-06,measured_contribution,0.0
TPH_ngg,0.0,-4.2116472230613944e-07,1,['x_measured_TPH_ngg'],negative,1e-06,measured_contribution,0.0
水解性氮,0.0,-1.3974456287128444e-07,1,['x_measured_水解性氮'],negative,0.0,measured_contribution,0.0
有效磷,0.0,0.0,1,['x_measured_有效磷'],positive,0.0,measured_contribution,0.0
Cd_mgkg,0.0,0.0,1,['x_measured_Cd_mgkg'],positive,0.0,measured_contribution,0.0
二苯并[ah]蒽,0.0,0.0,1,['x_measured_二苯并[ah]蒽'],positive,0.0,measured_contribution,0.0
䓛,0.0,0.0,1,['x_measured_䓛'],positive,0.0,measured_contribution,0.0
ph,0.0,0.0,1,['x_measured_ph'],positive,0.0,measured_contribution,0.0
TN_gkg,0.0,0.0,1,['x_measured_TN_gkg'],positive,0.0,measured_contribution,0.0
SumHCHs_ngg,0.0,0.0,1,['x_measured_SumHCHs_ngg'],positive,0.0,measured_contribution,0.0
SumDDTs_ngg,0.0,0.0,1,['x_measured_SumDDTs_ngg'],positive,0.0,measured_contribution,0.0
Pb_mgkg,0.0,0.0,1,['x_measured_Pb_mgkg'],positive,0.0,measured_contribution,0.0
Cr_mgkg,0.0,0.0,1,['x_measured_Cr_mgkg'],positive,0.0,measured_contribution,0.0
EC_mScm,0.0,0.0,1,['x_measured_EC_mScm'],positive,0.0,measured_contribution,0.0
苯并[b]荧蒽,0.0,0.0,1,['x_measured_苯并[b]荧蒽'],positive,0.0,measured_contribution,0.0
茚并[123-cd]芘,0.0,0.0,1,['x_measured_茚并[123-cd]芘'],positive,0.0,measured_contribution,0.0
速效钾,0.0,0.0,1,['x_measured_速效钾'],positive,0.0,measured_contribution,0.0
钒,0.0,0.0,1,['x_measured_钒'],positive,0.0,measured_contribution,0.0
钴,0.0,0.0,1,['x_measured_钴'],positive,0.0,measured_contribution,0.0
铍,0.0,0.0,1,['x_measured_铍'],positive,0.0,measured_contribution,0.0
锑,0.0,0.0,1,['x_measured_锑'],positive,0.0,measured_contribution,0.0
